codigo_fabricante,descricao_do_produto,marca,preco,estoque,localizacao,preco_promoc_varejo
A89,ABRACADEIRA ROSCA SEM FIM 3 A 3 1/2 COIFA CAMBIO UNO PALIO,DEWPA,"12,40","9,000",F9-04,
A32,ABRACADEIRA ROSCA SEM FIM 3/4 A 1 1/4,DEWPA,"6,07","33,000",NJ1-02,
A16,ABRACADEIRA ROSCA SEM FIM 3/8 A 5/8,DEWPA,"5,51","61,000",NJ1-01,
LF435B,ABRACADEIRA ROSCA SEM FIM 5/16 A 1/2,LAFER,"0,00","0,000",NJ1-01,
A13,ABRACADEIRA ROSCA SEM FIM 5/16 A 1/2,DEWPA,"5,25","40,000",NJ1-01,
A11,ABRACADEIRA ROSCA SEM FIM 5/16 A 3/8,DEWPA,"5,51","64,000",NJ1-01,
A27,ABRACADEIRA ROSCA SEM FIM 5/8 A 1 1/6,DEWPA,"5,78","33,000",NJ1-02,
A83,ABRACADEIRA ROSCA SEM FIM2 3/4 A3 1/4,DEWPA,"12,13","9,000",F9-04,
A95,ABRACADEIRA ROSCA SEM FIM3 1/4 A 3 3/4,DEWPA,"12,24","1,000",F9-04,
4353429,ABRACADEIRA TIPO G.ESCAP.FIAT,FIAT,"4,12","0,000",,
4214978,ABRACADEIRA TIPO G.ESCAPAMENTO FIAT 147 UNO,DIVER,"2,29","0,000",D9-02,
GM5157,ABRACADEIRA TRASEIRA ESCAPAMENTO D20 90/ TURBO 3,GENER,"41,58","0,000",,
555567,ABRACADEIRAS VARIADAS,DIVER,"1,28","199,000",F9-06,
0032410,ACABAM MACAN INTER PORTA TRAS ESQ GOL GIII PRETO C/FURO,CENTE,"27,30","0,000",I1-055,
091060,ACABAM MACAN INTERN PORTA DIANT DIR GOL PARATI 99/ GIII CINZA FLA,NEWKA,"18,24","0,000",I1-071,
1182305,ACABAM MACAN INTERN PORTA DIANT DIR GOL PARATI 99/ GIII CINZA FLA,CHG,"27,96","0,000",I1-071,
0020052,ACABAM MACAN INTERN PORTA DIANT DIR GOL PARATI 99/ GIII CINZA FLA,AUTO,"25,47","1,000",I1-071,
EK0410,ACABAM MACAN INTERN PORTA DIANT DIR GOL PARATI 99/ GIII PRETO,ENGEK,"27,96","4,000",I1-072,
0020059,ACABAM MACAN INTERN PORTA DIANT ESQ GOL PARATI 99/ GIII CINZA FLA,AUTO,"23,91","2,000",I1-071,
091061,ACABAM MACAN INTERN PORTA DIANT ESQ GOL PARATI 99/ GIII CINZA FLA,NEWKA,"27,96","0,000",I1-071,
0032415,ACABAM MACAN INTERNA PORTA TRAS DIR GOL GIII CINZA FLANEL C/FURO,CENTE,"27,30","0,000",I1-055,
0032411,ACABAM MACAN INTERNA PORTA TRAS DIR GOL GIII PRETO C/FURO,VOLKS,"27,30","0,000",I1-055,
VW801F,ACABAM MACAN INTERNA PORTA TRAS DIR GOL GIII PRETO S/FURO,CHG,"90,53","1,000",I1-029,
0032414,ACABAM MACAN INTERNA PORTA TRAS ESQ GOL GIII CINZA FLANEL C/FURO,VOLKS,"27,30","0,000",I1-055,
0032416,ACABAM MACAN INTERNA PORTA TRAS ESQ GOL GIII CINZA FLANEL S/FURO,VOLKS,"45,00","-1,000",X,
0032420,ACABAM MACAN INTERNA PORTA TRAS ESQ GOL GIII PRETO S/FURO,VOLKS,"45,00","0,000",I1-029,
20347,ACABAM MACANETA INTERNA PORTA DIANT ESQ GOL PARATI 99/ GIII CINZA,MACAN,"47,74","0,000",I1-071,
0013310,ACABAM SAIA DIANT MONZA 85/ DIR ESQ,GENER,"32,29","0,000",,
014323,ACABAMENTO ALAV FREIO MAO FOX SPACE CROSS 04/ GRAF,NEWKA,"63,00","0,000",A11-SUP,
3566,ACABAMENTO DIANTEIRO NOVO UNO WAY 10/14 CINZA TEXT,DTS,"569,70","0,000",ACB-05,
3565,ACABAMENTO DIANTEIRO NOVO UNO WAY 10/14 CINZA TEXT,DTS,"461,51","1,000",ACB-05,
8396,ACABAMENTO DIANTEIRO STRADA TREKKING 12/13 LD,BLAWE,"265,48","1,000",ACB-07,
8395,ACABAMENTO DIANTEIRO STRADA TREKKING 12/13 LE,BLAWE,"265,48","1,000",ACB-07,
3553,ACABAMENTO DIANTEIRO STRADA WORKING 2014/2019,DTS,"366,19","1,000",ACB-06,
3554,ACABAMENTO DIANTEIRO STRADA WORKING 2014/2019,DTS,"366,19","1,000",ACB-06,
2909,ACABAMENTO DO PARALAMA DIANTEIRO DIR ECOSPORT 2008/2012,DTS,"166,03","1,000",ACB-04,
2905,ACABAMENTO DO PARALAMA DIANTEIRO ESQ ECOSPORT 2008/2012,DTS,"152,25","1,000",ACB-04,
2908,ACABAMENTO DO PARALAMA TRASEIRO DIR ECOSPORT 2008/2012,DTS,"127,31","1,000",ACB-04,
