codigo_fabricante,descricao_do_produto,marca,preco,estoque,localizacao,preco_promoc_varejo
UB748,BOMBA D AGUA FIAT UNO PREM ELBA MTR 100/1050/1300.,FIAT,"132,30","0,000",NE1-02,
UB0952,BOMBA D AGUA FIESTA 1.6 SIGMA 10/ KA 1.5 ECOSPORT,URBA,"236,46","0,000",G9-03,
204500,BOMBA D AGUA FIESTA 1.6 SIGMA 10/ KA 1.5 ECOSPORT,INDIS,"264,65","1,000",G9-03,
20234,BOMBA D AGUA FIESTA 1.6 SIGMA 10/ KA 1.5 ECOSPORT,SCHAD,"328,14","0,000",G9-03,
204004,BOMBA D AGUA FIESTA KA COURIER 1.0 1.3 ENDURA 96/,INDIS,"237,30","1,000",G9-03,
BMM0946,BOMBA D AGUA FIESTA KA COURIER 1.0 1.3 ENDURA 96/,MAGNE,"192,17","1,000",G9-03,
20102,BOMBA D AGUA FIESTA KA ESCORT ECOSPORT ZETEC ROCAN,SCHAD,"135,43","4,000",NE1-04,
7000204009,BOMBA D AGUA FIESTA KA ESCORT ECOSPORT ZETEC ROCAN,INDIS,"113,93","0,000",NE1-04,
204008,BOMBA D AGUA FOCUS 2.0 2003/... ECOSPORT 2.0 FLEX 2007/...,INDIS,"196,33","0,000",X,
NKBA07628,BOMBA D AGUA GOL  SAV  VERS 1.6 1.8 2.0 92/ 95/,NAKAT,"155,23","0,000",NE1-02,
UB0628,BOMBA D AGUA GOL  SAV  VERS 1.6 1.8 2.0 92/ 95/,URBA,"132,82","1,000",NE1-02,
7000452007,BOMBA D AGUA GOL 1.0 1.6 8V 1.0 16V POWER FOX POWE,INDIS,"241,89","0,000",G9-02,
20187,BOMBA D AGUA GOL 1.0 1.6 8V 1.0 16V POWER FOX POWE,SCHAD,"226,51","0,000",G9-02,"189,000"
7000452003,BOMBA D AGUA GOL AT 1.0 16V 97/ FOX 1.0 16V EA111,INDIS,"145,53","0,000",NE1-02,
20086,BOMBA D AGUA GOL AT 1.0 16V 97/ FOX 1.0 16V EA111,SCHAD,"164,77","4,000",NE1-02,
UB0630,BOMBA D AGUA GOL AT 1.0 8V 97/ FOX 04/ KOMBI 1.4 F,URBA,"146,80","0,000",NE1-02,
452001,BOMBA D AGUA GOL AT 1.0 8V 97/ FOX 04/ KOMBI 1.4 F,INDIS,"129,00","0,000",NE102,
20089,BOMBA D AGUA GOL AT 1.0 8V 97/ FOX 04/ KOMBI 1.4 F,SCHAD,"122,00","3,000",NE1-02,
7000454002,BOMBA D AGUA GOL SAV VERS 1.6 1.8 2.0 92/ 95/,INDIS,"137,60","0,000",NE1-02,
20071,BOMBA D AGUA GOL SAV VERS 1.6 1.8 2.0 92/ 95/,SCHAD,"140,00","0,000",NE1-02,
20134,BOMBA D AGUA GOLF 1.8 2.0 20 VALV 09-99/ AUDI A3,SCHAD,"214,33","0,000",X,
NKBA07633,BOMBA D AGUA GOLF 1.8 2.0 20 VALV 09-99/ AUDI A3,NAKAT,"350,65","1,000",G9-02,
VKPC81408,BOMBA D AGUA GOLF GV 1.6 8V 99/06 GOLF NAC 1.6 8V,VOLKS,"281,82","0,000",,
NKBA17422,BOMBA D AGUA HB20 1.0 3C 2011/...,NAKAT,"340,29","1,000",G9-04,
20259,BOMBA D AGUA HB20 1.6 2012/...I30 1.6 2011/...,SCHAD,"270,30","0,000",G9 001,
BD0273,BOMBA D AGUA HILUX 2.8 DIESEL 93/96,TOYOT,"180,76","0,000",,
20253,BOMBA D AGUA HYUNDAI I30 TUCSON ELANTRA CERATO 2.0 16V,SCHAD,"236,25","1,000",G9-04,
UB626,BOMBA D AGUA KOMBI DIESEL 80/,VOLKS,"121,28","0,000",,
252001,BOMBA D AGUA MONZA 1.6 1.8 2.0 /95 KADETT IPAN /9,INDIS,"137,85","1,000",NE1001,
20001,BOMBA D AGUA MONZA 1.6 1.8 2.0 /95 KADETT IPAN /9,SCHAD,"157,84","8,000",NE1-01,"145,000"
UB150,BOMBA D AGUA MONZA 87/92 CHAPA BD9377,GENER,"57,52","0,000",,
UB54,BOMBA D AGUA MOTOR WILLYS 6 CIL.   UB54,FORD,"218,24","0,000",,
20035,BOMBA D AGUA MWM 229,SCHAD,"431,18","1,000",G9 005,
UB0578,BOMBA D AGUA MWM 229,URBA,"736,49","1,000",G9 005,
20254,BOMBA D AGUA NOVO UNO 10/ FIORI 14/ PALIO 11/ PUNT,SCHAD,"185,27","0,000",NE1-03,
UB0773,BOMBA D AGUA NOVO UNO 10/ FIORI 14/ PALIO 11/ PUNT,URBA,"229,78","1,000",NE1-03,
354013,BOMBA D AGUA NOVO UNO 10/ FIORI 14/ PALIO 11/ PUNT,INDIS,"177,01","1,000",NE1-03,
BD9359,BOMBA D AGUA OPALA C/AR UB140,GENER,"93,37","0,000",,
20054,BOMBA D AGUA PALIO 1.0 1.5 ED EDX 8V 96/ UNO 96/99,SCHAD,"172,24","1,000",NE1-03,
7000354003,BOMBA D AGUA PALIO 1.0 1.5 ED EDX 8V 96/ UNO 96/99,INDIS,"133,11","0,000",NE1-03,
20104,BOMBA D AGUA PALIO 1.0 1.5 STRADA 99/ C/ POLIA FRISADA,SCHAD,"210,95","2,000",NE1-03,
NKBA01765,BOMBA D AGUA PALIO STRAD 1.6 1.8 16V E-TORQ VETORE,NAKAT,"365,81","0,000",G9-03,
20248,BOMBA D AGUA PALIO STRAD 1.6 1.8 16V E-TORQ VETORE,SCHAD,"516,32","1,000",G9-03,
UB0774,BOMBA D AGUA PALIO STRAD 1.6 1.8 16V E-TORQ VETORE,URBA,"438,11","0,000",G9-03,
20025,BOMBA D AGUA PASST GOL SANT PAMPA AP 1.6 1.8 84/,SCHAD,"141,20","2,000",NE1-02,
454000,BOMBA D AGUA PASST GOL SANT PAMPA AP 1.6 1.8 84/,INDIS,"112,91","0,000",NE1-02,
VBD101,BOMBA D AGUA PASST VOY PARAT 1.5 1.6 .../85,VETOE,"147,51","0,000",NE1-01,
VKPC4551,BOMBA D AGUA PERKINS 4236 D10/D14  UB328,SKF,"443,95","0,000",G9-03,
20058,BOMBA D AGUA PERKINS D20/D40 85/92 PERKINS 4236 Q20B,SCHAD,"391,54","2,000",G9-04,
VKPC4548,BOMBA D AGUA PERKINS D20/D40 85/92 PERKINS 4236 Q20B,SKF,"392,75","0,000",G9-01,
152002,BOMBA D AGUA PERKINS D20/D40 85/92 PERKINS 4236 Q20B,INDIS,"305,63","0,000",G9-04,
20062,BOMBA D AGUA PERKINS.4236 D10/D14  UB328,SCHAD,"368,46","0,000",G9-03,
VKPC83635,BOMBA D AGUA PEUGEOT 306 605 CITROEN XSARA XANTIA,IMPOR,"363,83","0,000",X,
204014,BOMBA D AGUA RANGER 3.0  POWER STROKE DIESEL ELETRONICO 05/...,INDIS,"355,70","0,000",X,
UB342,BOMBA D AGUA RANGER 3.0 POWER STROKE DIESEL 05/,FORD,"324,45","0,000",,
7000204011,BOMBA D AGUA RANGER 96 4.0 6 CIL GAS,FORD,"349,27","0,000",,
UB0376,BOMBA D AGUA S/ POLIA SPRINTER 311 CDI STREET 2.2 L 16V 11/16,URBA,"617,94","1,000",G9 006,
7000404000,BOMBA D AGUA S10 D20 RANGER TRAFIC SPRINTER MAXION,INDIS,"252,00","0,000",G9-02,
20069,BOMBA D AGUA S10 D20 RANGER TRAFIC SPRINTER MAXION,SCHAD,"215,07","0,000",G9-02,
20146,BOMBA D AGUA STILO MERIVA 1.8 16V,SCHAD,"300,00","0,000",X,
NKBA03163,BOMBA D AGUA STILO MERIVA 1.8 16V,NAKAT,"311,72","1,000",G9-01,
UB760,BOMBA D AGUA TEMPRA SW 2.0 93/97 TIPO 2.0 94/95,FIAT,"331,80","0,000",,
UB761,BOMBA D AGUA TIPO 1.6 94/97 C/ACD C/DH C/POLIA DUP,FIAT,"233,10","0,000",,
20127,BOMBA D AGUA UNO 1.0 95/ 1.5 94/95 MTR NACION C/PO,SCHAD,"167,05","5,000",NE1-02,
354010,BOMBA D AGUA UNO 1.0 95/ 1.5 94/95 MTR NACION C/PO,INDIS,"115,31","0,000",NE1-02,
UB752,BOMBA D AGUA UNO 1.5 1.6 IMP 84/95 C/ AR BD9018,URBA,"201,19","2,000",G9 001,
354512,BOMBA D AGUA UNO MOBI ARGO CRONOS 1.0 6V 3 CIL,INDIS,"349,69","1,000",G9 001,
UB0766,BOMBA D AGUA UNO PALIO 1.0 1.3 1.4 8V 16V FIRE TOD,URBA,"190,43","0,000",NE1-03,
20143,BOMBA D AGUA UNO PALIO 1.0 1.3 1.4 8V 16V FIRE TOD,SCHAD,"157,82","4,000",NE1-03,"122,000"
354009,BOMBA D AGUA UNO PALIO 1.0 1.3 1.4 8V 16V FIRE TOD,INDIS,"128,98","0,000",NE1-03,
UB757,BOMBA D AGUA UNO PREM ELB 1.6 90/ S/ACD MTR IMPORT,FIAT,"188,27","0,000",,
20080,BOMBA D GUA MOTOR CUMMINS SERIE B,SCHAD,"515,71","0,000",X,
VKPC4994,BOMBA D GUA RENEGADE TORO ARGO 1.8 16V 2017/... ( SISTEMA VETORE,SKF,"370,42","0,000",G9-03,
940787310056,BOMBA D GUA S10 BLAZER 2.8 TURBO DIESEL,GENER,"979,65","0,000",,
60252STD,BOMBA D60/86,GENER,"99,56","0,000",,
60251SDT,BOMBA D60/D70/D80 86/,GENER,"208,59","0,000",E1 006,
20218,BOMBA DAGUA CITROEN C3 PEUGEOT 206 207 MOTOR 1.4 8V,SCHAD,"195,14","0,000",G9-02,
NKBA03826,BOMBA DAGUA CRUZE 1.4 16V 1.8 16V 2011/,NAKAT,"524,79","0,000",X,
20227,BOMBA DAGUA CRUZE 1.4 16V 1.8 16V 2011/,SCHAD,"339,66","1,000",G9-04,
254500,BOMBA DAGUA CRUZE 1.4 16V 1.8 16V 2011/,INDIS,"249,94","0,000",G9 -04,
920230,BOMBA DAGUA MOTOR  MITSUBISH 4G63 4G64 EMPILHADEIRA,CLAR,"588,00","0,000",X,
20256,BOMBA DAGUA NOVO GOL SAVEIRO VOYAGE 2014 / 1.6 16V  C/TAMPA,SCHAD,"898,04","2,000",NE2-SUP,
452506,BOMBA DAGUA NOVO GOL SAVEIRO VOYAGE 2014 / 1.6 16V  C/TAMPA,INDIS,"724,75","0,000",NE1-04,
UB748,BOMBA DE AGUA - 147 / UNO / ELBA - 1.0 1.3 1.5 NACIONAL,URBA,"89,34","4,000",ML,
20207,BOMBA DE AGUA - CLIO / 206 / LOGAN / SANDERO,SCHAD,"285,11","1,000",G9-02,
702007,BOMBA DE AGUA - CLIO / 206 / LOGAN / SANDERO,INDEB,"309,58","0,000",,
380600,BOMBA DE AGUA - UNO / PREMIO / ELBA 1.5 1.6 C/ AR,BROSO,"109,15","0,000",X,
354002,BOMBA DE AGUA - UNO / PREMIO / ELBA 1.5 1.6 C/ AR,INDIS,"174,30","0,000",X,
20087,BOMBA DE AGUA ASTRA VECTRA ZAFIRA 2.0 2.2 16V,SCHAD,"220,50","1,000",G9-01,
7000252007,BOMBA DE AGUA ASTRA VECTRA ZAFIRA 2.0 2.2 16V,INDIS,"161,79","1,000",G9-01,
20219,BOMBA DE AGUA C3 C4 XSARA PEUGEOT 206 207 307 308 1.6 16V,SCHAD,"233,56","1,000",G9-03,
VKPC83430,BOMBA DE AGUA C3 C4 XSARA PEUGEOT 206 207 307 308 1.6 16V,SKF,"284,13","0,000",G9-03,
UB143,BOMBA DE AGUA CHEVETTE APOS 1981 TODOS COM POLIA ELETROMAGNETICA,URBA,"109,15","0,000",G9-INF,
7000952006,BOMBA DE AGUA CITROEN C3 PEUGEOT 206 207 MOTOR 1.4 8V,INDIS,"189,63","0,000",G9-02,
NKBA09800,BOMBA DE AGUA CLIO 206 LOGAN SANDERO,NAKAT,"462,68","0,000",X,
7000352000,BOMBA DE AGUA COM POLIA UNO PREMIO ELBA 1.5 ARGENTINO SEM AR,INDIS,"180,60","0,000",G9-01,
UB0942,BOMBA DE AGUA CORCEL BELINA DEL REY SEM POLIA MAGNETICA,URBA,"191,52","0,000",NE1-03,
7000354001,BOMBA DE AGUA DO MOTOR FIAT TEMPRA 2.0 8 E 16V 1992 A 1999,INDIS,"363,83","0,000",G9-01,
204501,BOMBA DE AGUA FORD FOCUS FUSIO RANGER ECOSPORT MONDEO,INDIS,"214,55","0,000",G9-04,
UB625,BOMBA DE AGUA GOL PASSAT SAVEIRO VOYAGE KOMBI DIESEL 1.5 1.6,URBA,"140,49","0,000",NE1-01,
NKBA02060,BOMBA DE AGUA NOVO KA NOVO FIESTA 1.0 3 CILINDROS,NAKAT,"392,72","0,000",G9-03,
204502,BOMBA DE AGUA NOVO KA NOVO FIESTA 1.0 3 CILINDROS,INDIS,"307,52","1,000",G9-03,
BD9358,BOMBA DE AGUA OPALA CARAVAN COM POLIA ELETROMAGNETICA,DIVER,"121,28","0,000",G9-INF,
E1030,BOMBA DE COMBUSTIVEL - CORSA EFI (1 BICO) 1994 A 1996,DREIK,"133,71","0,000",ML,
243122,BOMBA DE COMBUSTIVEL CHEVETTE MARAJO CHEVY 500,BROSO,"203,26","1,000",NA4-07,
MM210A,BOMBA DE COMBUSTIVEL INJECAO - REFIL - BICO VERDE,MAGNE,"243,96","0,000",NA405,
260100,BOMBA DE COMBUSTIVEL MOTOR PERKINS 4236 4248 4 CILINDROS,BROSO,"257,16","0,000",F6-28,
60459,BOMBA DE COMBUSTIVEL MWM D229 TD229 F1000 F4000,CARTE,"219,40","0,000",F6-35/36,
NKBC06100,BOMBA DE COMBUSTIVEL MWM D229 TD229 F1000 F4000,NAKAT,"379,17","1,000",F6-35/36,
014800000,BOMBA DE COMBUSTIVEL OPALA E CARAVAN 4 E 6 CILINDROS,DIVER,"142,22","0,000",F6-35/36,
F000TE1186,BOMBA DE COMBUSTIVEL ORIGINAL BOSCH S10 BLAZER 2.2 MPFI,BOSCH,"242,08","0,000",F6-32,
011300000,BOMBA DE COMBUSTIVEL PERKINS 4236 / 4248,MJ,"0,00","0,000",ML,
0018930PR,BOMBA DE COMBUSTÍVEL ASTRA / CORSA / VECTRA GASOLINA,INDEB,"235,32","1,000",F6-26,
JPR1041,BOMBA DE DIRECAO HIDRAULICA RENAULT DUSTER 2.0 2011/,TRW,"1090,37","0,000",,
NKBO0325,BOMBA DE OLEO - OPALA / CARAVAN / OMEGA / SILVERADO,NAKAT,"361,53","0,000",C2-06,
BO0325,BOMBA DE OLEO - OPALA / CARAVAN / OMEGA / SILVERADO,BROSO,"379,76","1,000",C2-06,
10021,BOMBA DE OLEO - PERKINS D10 / D20 / D40 / F350,SCHAD,"143,33","0,000",C2-06,
AT7050,BOMBA DE OLEO - UNO PREMIO ELBA FIORINO TIPO 1.6 ARGENTINO,ANROI,"183,67","0,000",D6-SUP,
5997054,BOMBA DE OLEO - UNO/PALIO/SIENA/STRADA 1.0/1.5 MPI - 1996/2000,FIAT,"110,25","0,000",ML,
10173,BOMBA DE OLEO DO MOTOR - ASTRA / VECTRA 2.0 16V,SCHAD,"695,22","0,000",X,
NKBO0320,BOMBA DE OLEO DO MOTOR - CHEVETTE MARAJO CHEVY,NAKAT,"280,19","11,000",C2-06,
922907300096,BOMBA DE OLEO DO MOTOR - MWM ASPIRADO TODOS,MWM,"319,73","0,000",ML,
10189,BOMBA DE OLEO FIRE 1.0 16V FIRE 1.3 16V,SCHAD,"529,13","1,000",NA602,
72100RE,BOMBA DE TRANSFERENCIA S10 BLAZER RANGER MAXION 2.5,MWM,"535,79","0,000",X,
96116,BOMBA DIRECAO HIDRAULICA FORD FOCUS ZETEC,AMPR,"1845,23","0,000",X,
97001,BOMBA DIRECAO HIDRAULICA HILUX SW4 2.5 16V 3.0 16V 2005/...,AMPR,"1201,20","0,000",X,
JPR527,BOMBA DIRECAO HIDRAULICA PALIO SIENA DOBLO 1.8 03/...,TRW,"985,59","0,000",X,
95104,BOMBA DIRECAO HIDRAULICA S10 2.5 96/00 DIESEL,AMPR,"862,08","0,000",X,
92103,BOMBA DIRECAO HIDRAULICA S10 MAXION 96/00,AMPR,"954,31","0,000",X,
BCD00103,BOMBA ELET.CORSA MPFI 96/,GENER,"207,90","0,000",E2 026,
BCD00021,"BOMBA ELET.PAL 1,0/1,5/1,6 16V",FIAT,"417,55","0,000",E1 030,
F000TEO107,BOMBA ELETR (REFIL) TIPO 1.6 IE 93/95,FIAT,"114,69","0,000",E2 033,
F000TE1257,BOMBA ELETRICA COMBUSTIVEL ORIGINAL - CORSA / S10 / BLAZER,BOSCH,"138,60","0,000",F6-25,
6732GAS,BOMBA F100/JEEP/RURAL 4 CIL,FORD,"248,44","0,000",,
60460SDT,BOMBA F1000/F4000 CAM W 94/,FORD,"74,97","0,000",,
10102,BOMBA HIDR.A DIREC.TEMPRA 16V,FIAT,"12,29","0,000",,
010700000,BOMBA MECANICA COMBUSTIVEL PERKINS 6354 / CAMINHOES DODGE,JANDI,"190,16","1,000",F6-35/36,
AT1251,BOMBA MOT.AE 1600 1000(ALT.VA),DIVER,"137,15","0,000",A7 031,
MVW309,BOMBA OLEO AMAROK 2.0 16,VOLKS,"696,15","0,000",,
AT3046,BOMBA OLEO CHT 1.0/1.6 ESC/VER,GENER,"77,96","0,000",,
10235,BOMBA OLEO CLIO SCENIC MEGANE LOGAN 1.6 16V 22DENT,RENAU,"659,40","0,000",X,
BO0210,BOMBA OLEO CORCEL BEL DEL REY PPA 1.6 CHT 78/89,BROSO,"193,20","0,000",B4-SUP,
AR3030,BOMBA OLEO CORCEL BEL DEL REY PPA 1.6 CHT 78/89,ANROI,"306,30","1,000",B4-SUP,
AT3036,BOMBA OLEO CORCEL BEL II D REY CHT 91/96,GENER,"154,01","0,000",,
NKBO0205,BOMBA OLEO CORCEL I 1 /77 BELINA I 1 /77,NAKAT,"399,25","0,000",X,
AR3020,BOMBA OLEO CORCEL I 1 /77 BELINA I 1 /77,ANROI,"166,20","0,000",X,
10129,BOMBA OLEO CORSA 1.0/1.4/1.6 CELTA 01/ PRISMA 1.4,SCHAD,"334,90","2,000",NA602,
BO0300,BOMBA OLEO CORSA 1.0/1.4/1.6 CELTA 01/ PRISMA 1.4,BROSO,"234,45","0,000",NA6-02,
BOGM18H,BOMBA OLEO CRUZE SONIC 1.8 16V ECOTEC FLEX,TAKAO,"1836,93","0,000",X,
10115,BOMBA OLEO D20/D40 92/PERK MAX,GENER,"114,90","0,000",,
AR3040,BOMBA OLEO ESCORT VERO 1.6 CHT 84/92 CHT HOBBY 93/,ANROI,"328,23","1,000",B4-SUP,
7555208,BOMBA OLEO FIAT 1300 ALC,FIAT,"186,52","0,000",,
10052,BOMBA OLEO FIAT 147 UNO 1.0 1.3 NAC PALIO SIEN 1.0,SCHAD,"325,50","2,000",NA602,
BO0115,BOMBA OLEO FIAT UNO 1.5 1.6 ARGENTINO TIPO 1.6 96,BROSO,"192,94","0,000",D6-SUP,
BOFO14,BOMBA OLEO FIESTA 1.4 16V DOHC NEW FIESTA 1.6 16V,TAKAO,"908,57","0,000",X,
10210,BOMBA OLEO FIESTA COURIER 1.0 1.6 08-99/ ZETEC ROC,SCHAD,"514,29","1,000",NA603,
10138,BOMBA OLEO FIESTA KA COURIER 1.0 1.3 ENDURA,FORD,"442,37","0,000",,
10168,BOMBA OLEO GOL 1.0 MI 8V 16V 97/ GOL GV KOMBI FOX,SCHAD,"350,84","2,000",NA601,
45168,BOMBA OLEO GOL 1.0 MI 8V 16V 97/ GOL GV KOMBI FOX,INDIS,"245,22","0,000",NA601,
10250,BOMBA OLEO GOL 1.6 1.8 02-03/09 GIII GIV FLEX PARA,SCHAD,"343,67","1,000",NA601,
10086,BOMBA OLEO GOL AP 1.6 1.8 2.0 88/02 02/ GOL GV GAS,SCHAD,"259,75","0,000",NA601,
BO0725,BOMBA OLEO GOL AP 1.6 1.8 2.0 88/02 02/ GOL GV GAS,BROSO,"178,25","0,000",NA6-01,
AT1305,BOMBA OLEO GOL PARATI AT MI 1.0 97/98 ((CORRENTE),VOLKS,"447,30","0,000",X,
10105,BOMBA OLEO GOL PARATI VOY SAV 1.0 1.6 AE CHT 89/94,SCHAD,"347,08","1,000",NA601,
10075,BOMBA OLEO GOL/SA/SAN1.8/2.0 88/,VOLKS,"209,81","0,000",,
10255,BOMBA OLEO IDEA 1.4 06/... PALIO 1.4 06/...PUNTO 1.4 08/...,SCHAD,"563,38","3,000",NA602,
10149,BOMBA OLEO KADETT 1.8 2.0 89/98 VECTRA 2.0 2.2 8V,SCHAD,"631,76","1,000",C2-06,
AR1120,BOMBA OLEO KOMB DIESEL 82/,VOLKS,"55,44","0,000",,
10072,BOMBA OLEO MO/KDT/IP 1.8/2.0 87,GENER,"373,53","0,000",,
AT2040,BOMBA OLEO MONZA 1.6/1.8 82/86,GENER,"559,02","0,000",,
AT2045,BOMBA OLEO MONZA 1.8 2.0 87/96 KADETT OMEGA SUPREM,ANROI,"641,81","1,000",C2-06,
10305,BOMBA OLEO ONIX COBALT CELTA 2013/,SCHAD,"669,64","0,000",NA603,
AT2025,BOMBA OLEO OPALA CARAVAN TDS,GENER,"138,60","0,000",,
10188,BOMBA OLEO PALIO 1.0 01/06 1.3 03/05,SCHAD,"591,23","2,000",NA603,
10146,BOMBA OLEO PALIO SIENA 1.6 16V TIPO 1.6 IE UNO 1.4,SCHAD,"454,81","1,000",D6-SUP,
10254,BOMBA OLEO PALIO SIENA STRADA CORSA MONTA 1.8 8V,SCHAD,"784,82","1,000",NA603,
BMMOP10254,BOMBA OLEO PALIO SIENA STRADA CORSA MONTA 1.8 8V,MAGNE,"529,85","1,000",NA603,
AT7070,BOMBA OLEO TEMPRA 2.0/TURB2.0 16V,FIAT,"199,82","0,000",,
10121,BOMBA OLEO VECTRA ASTRA S10 BLAZER OMEGA,SCHAD,"767,69","0,000",C2-06,
AT2060,BOMBA OLEO VECTRA ASTRA S10 BLAZER OMEGA,GENER,"447,30","0,000",C2-06,
AR1030,BOMBA OLEO VW 1300 1300L 1500 1600 8MM BO0705,ANROI,"126,99","0,000",NA6-01,
10003,BOMBA OLEO VW 1300 1300L 1500 1600 8MM BO0705,SCHAD,"166,13","0,000",NA601,
EBC1011,BOMBA REFIL COMBUSTIVEL INJECAO GOL GTI AP PASSAT SANTANA 89/96,EKLAS,"306,89","1,000",NA4-06,
260200,BOMBA TRANSF 8250 COMB C/MT 4236A 4248 TDS,BROSO,"467,78","1,000",F6-31,
NKBC06200,BOMBA TRANSF COMBUSTIVEL F1000 F4000 .../94,NAKAT,"270,49","0,000",F6-35,
NKBC04800,BOMBA TRANSF D20 D40 /08-91,NAKAT,"312,47","1,000",F6-27,
260800,BOMBA TRANSF D20 D40 /08-91,BROSO,"266,00","0,000",F6-27,
260900,BOMBA TRANSF D20 D40 09-91/ 260900,BROSO,"302,83","1,000",F4-32,
NKBC04900,BOMBA TRANSF D20 D40 09-91/ 260900,NAKAT,"291,94","1,000",F4-32,
40944,BORBOLETA CILINDRO IGN S10 BLAZER SILVERADO PRETA,MACAN,"20,50","3,000",I1-144,
MB349A,BORRA. INF.DA HAST LIG.BAN.D.S,UNIVE,"1,67","0,000",,
K40096,BORRACH ESTAB GOL,VOLKS,"1,14","0,000",,
0165023,BORRACHA / GUARNICAO TAMPA DO MOTOR KOMBI ATE 1996,JAHU,"37,11","5,000",ST -3-04,
BOR001,BORRACHA ACABAMENTO LAT PARABRISA CIVIC 07/12,AUTO,"124,96","1,000",A14-02,
DEW05353,BORRACHA AMORT.C/TUBO F1000 F350 F4000 PE.,DEWPA,"24,78","8,000",B9-28,
MB243,BORRACHA AMORT.TRASEIRO ESCORT VERONA .../92,FORD,"4,62","0,000",,
ZBA129025A,BORRACHA BOCAL CARB CORCEL II GOL MINI PROGRESSIVO,DIVER,"10,12","5,000",A13-01,
3087,BORRACHA BOCAL CARB SOLEX BLFA CORCEL PPA GOL SANT,DSC,"17,02","3,000",B3-12,
R1004,BORRACHA C/R CARDAN D70,GENER,"152,08","0,000",,
R1001,BORRACHA C/ROL CARDAN F1000 F4000 D40 S10,GENER,"227,85","0,000",,
0040283,BORRACHA COXIM/ROLAM CARDAN CHEVETT MARAJO CHEVY,JAHU,"21,53","2,000",C8-20,
0691218,BORRACHA DA JANELA LATERAL DIREITA FIXA GOL BOLA,JAHU,"153,47","2,000",SS -4-03,
0200212,BORRACHA DA JANELA LATERAL FIXA BRASILIA,JAHU,"105,01","3,000",SS -4-01,
555251,BORRACHA DA PORTA CITROEN C3 DIANTEIRA OU TRASEIRA,JAHU,"213,95","7,000",SU -2-06,
680762,BORRACHA DA PORTA DIANTEIRA FIAT DOBLO TODOS,JAHU,"121,57","5,000",SU -3-04,
COI316,BORRACHA DE FREIO    1-5/8,UNIVE,"1,70","0,000",,
COI315,BORRACHA DE FREIO    7/8,UNIVE,"2,89","0,000",,
COI314,BORRACHA DE FREIO   1-27/32,UNIVE,"3,00","0,000",,
COI317,BORRACHA DE FREIO   13/16,UNIVE,"1,96","0,000",,
COI308,BORRACHA DE FREIO   2,UNIVE,"3,00","0,000",,
COI312,BORRACHA DE FREIO   3/4,UNIVE,"2,19","0,000",,
COI300,BORRACHA DE FREIO 1-1/4,UNIVE,"1,98","0,000",,
COI309,BORRACHA DE FREIO 1-1/8,UNIVE,"1,39","0,000",,
COI305,BORRACHA DE FREIO 11/16,UNIVE,"1,73","0,000",,
COI311,BORRACHA DE FREIO 15/16,UNIVE,"2,23","0,000",,
610721,BORRACHA DE PORTA FIAT TEMPRA TODOS,JAHU,"139,51","10,000",SU -3-04,
124532,BORRACHA DE PORTA PEUGEOT 206 306 307 406,JAHU,"110,13","4,000",SU -2-05,
0600647,BORRACHA DO CAPO DIANTEIRO FIAT 147 TODOS,JAHU,"32,88","6,000",ST -3-06,
032080,BORRACHA DO PARABRISA C/ ABA OPALA E CARAVAN STD,JAHU,"157,74","2,000",SS -1-02,
040757,BORRACHA DO PARABRISAS CHEVETTE MARAJO TODOS,JAHU,"135,28","4,000",SS -1-03,
0104848,BORRACHA DO PARABRISAS CORCEL BELINA DEL REY PAMPA,JAHU,"228,18","2,000",SS -1-05,
105234,BORRACHA DO PARABRISAS ESCORT VERONA APOLLO,JAHU,"165,10","1,000",SS -1-06,
0090905,BORRACHA DO PARABRISAS FORD F100 E F1000,JAHU,"251,06","1,000",SS -1-04,
046919,BORRACHA DO PARABRISAS MONZA 1986 A 1997,JAHU,"136,38","3,000",SS -1-03,
691300,BORRACHA DO PARABRISAS PASSAT CANTO REDONDO,JAHU,"202,09","1,000",SS -2-01,
0750199,BORRACHA DO PORTA MALAS FOX TODOS,JAHU,"62,72","0,000",ST -2-05,
031441,BORRACHA DO PORTA MALAS OPALA 1969 A 1977 ESPONJA,JAHU,"70,17","4,000",ST -3-01,
102547,BORRACHA DO QUEBRA VENTO DIREITO CORCEL 2,JAHU,"172,71","0,000",SS -4-08,
50528,BORRACHA DO QUEBRA VENTO DIREITO FIAT 147 / SPAZIO,DIVER,"57,75","0,000",SS -4-08,
0201035,BORRACHA DO QUEBRA VENTO ESQUERDO BRASILIA E VARIANT 2,JAHU,"205,58","3,000",SS -4-07,
042577,BORRACHA DO QUEBRA VENTO ESQUERDO CHEVETTE,JAHU,"134,54","1,000",SS -4-07,
041532,BORRACHA DO QUEBRA VENTO ESQUERDO CHEVETTE ATE 1984,JAHU,"131,59","2,000",SS -4-08,
50529,BORRACHA DO QUEBRA VENTO ESQUERDO FIAT 147 / SPAZIO,DIVER,"57,75","0,000",SS -4-08,
20539,BORRACHA DO VIDRO TRASEIRO VIGIA BELINA 1,DIVER,"43,00","0,000",SS -3-06,
182136,BORRACHA DO VIDRO TRASEIRO VIGIA BRASILIA VARIANT 2,JAHU,"180,12","2,000",SS -3-01,
040764,BORRACHA DO VIDRO TRASEIRO VIGIA CHEVETTE,JAHU,"144,83","4,000",SS -2-07,
