Produto,Descrição,Localização,Código Família,Quant. Estoque,Preço Venda,Unidade
1109,PASTILHA FREIO DIANT.CHEROKEE /98,,999,0,"226,80",JG
3316769,PATIN GARFO EATON,,999,0,"7,35",PC
999,PECA DIGITADA,,999,0,"0,01",PC
93361391,PIVO HIDRAULICO PARA,,999,0,"42,00",UN
9438,PLACA ENCOSTO,,999,1,"115,50",UN
9441,PLACA ENCOSTO,,999,1,"89,25",UN
130C11551R,POLIA REGULADORA DE TENSAO ACOMPANHADA D,,999,1,"1165,00",PC
FV,PRODUTO FERRO VELHO,,999,0,"0,11",PC
7091021,PROTECAO SUPERI,,999,0,"168,00",UN
100208682,PROTECAO SUPERI,,999,0,"140,00",PC
03L109147D,PROTETOR,,999,0,"367,50",UN
03P109107,PROTETOR,,999,0,"404,25",UN
94716494,PROTETOR DO PARALAMA,,999,0,"140,00",UN
KC24,PSC72/2 FILTRO COMBUSTIVEL - TEC,,999,0,"31,50",PC
PSD940,PSD940 FILTRO SEDIMENTADOR - TEC,,999,0,"262,50",PC
PSL655,PSL655 FILTRO OLEO - TEC,,999,0,"80,85",PC
51925934,REFLETOR P-CHOQ,,999,0,"140,00",PC
8A6117E847AB,REFLETOR-LE,,999,0,"300,00",PC
NK1716,ROLAMENTO DE AGULHAS,,999,1,"63,00",UN
62204,ROLAMENTO DE ESFERAS,,999,1,"63,00",UN
012423,ROLAMENTO EIXO DIFERENCIAL DIANTEIRO S10,,999,2,"84,00",UN
BT10017AQ,ROLAMENTO SKF,,999,0,"210,00",PC
7890000031189,ROTOR JR 033118 MTH-100 MITSUBISHI 75AMP 14V,,999,0,"519,75",UN
DS2201,SENSOR PEDAL ACELERADOR CLIO/MAGANE/KANGOO 1.0 16V,,999,0,"322,67",PC
DRK1236,SOLENOIDE COMANDO VARIAVEL CABECOTE 307 308 408 C4,,999,0,"390,00",PC
735380692,SUPORTE PLACA,,999,0,"78,09",PC
899521,SUPORTE VENTILADOR S10,,999,0,"1025,00",PC
46346291,TAMPA FRONTAL B,,999,0,"265,00",UN
JF1965,TAMPA VALVULA C/SUSPIRO-0248 R6,,999,0,"990,00",UN
42547928,TAMPAO DE FECHAMENTO,,999,0,"241,50",PC
46818317,TRIANGULO SEGUR,,999,0,"55,00",PC
50005798,TRINCO,,999,0,"380,00",PC
940709060565,TUBO BOMBA AO DISTRIBUIDOR FLAUTA S10 2.8 ELETR,,999,0,"441,00",PC
94726644,TUBO CANISTER S10,,999,0,"126,00",PC
24590072,TUBO DE ALOJAMENTO D,,999,0,"60,00",PC
5802373666,TUBO DE ALUMINIO,,999,0,"330,75",PC
1359206080,TUBO DUCATO,,999,0,"577,50",PC
7094181,TURBINA TORO REMANUFATURADA PELA FIAT,,999,0,"7200,00",PC
46336044,TURBINA TORO/RENEGADE/COMPASS DIESEL NOVA ORIGINAL,,999,0,"12000,00",PC
55267985,VALVULA TERMOSTATICA,,999,0,"690,00",UN
A16,ABRACADEIRA 3/8 A 5/8,,ABRAC,0,"1,12",PC
A13,ABRACADEIRA 5/16 A 1/2,E-184,ABRAC,0,"1,12",PC
A27,ABRACADEIRA 5/8 A 1 1/6,,ABRAC,0,"2,07",PC
A19,ABRACADEIRA 1/2 A 3/4,,ABRAC,0,"1,25",PC
A51,ABRACADEIRA 1 1/2 A 2,,ABRAC,0,"4,51",PC
A44,ABRACADEIRA 1 1/4 A 1 3/4,,ABRAC,0,"4,14",PC
A57,ABRACADEIRA 1 3/4 A 2 1/4,,ABRAC,0,"4,63",PC
A38,ABRACADEIRA 1 A 1 1/2,,ABRAC,0,"4,05",PC
A10,ABRACADEIRA 5/16 A 3/8,E-182,ABRAC,0,"1,12",PC
995240,ABRACADEIRA 70X89,E-199,ABRAC,9,"11,00",PC
995258,ABRACADEIRA 76X89,E-199,ABRAC,5,"11,00",PC
63222,"ABRACADEIRA 78MM FITA 9,0MM UNIVERSAL",E-199,ABRAC,32,"5,00",PC
995266,ABRACADEIRA 83X95,E-199,ABRAC,5,"11,00",PC
30253,ABRACADEIRA COIFA CAMBIO PALIO/UNO 96/ PEQUENA,E-193,ABRAC,0,"2,49",PC
13434070,ABRACADEIRA COIFA CAMBIO PALIO/UNO FIRE ORIGINAL,E-192,ABRAC,0,"14,55",PC
51977263,ABRACADEIRA COIFA CAMBIO PALIO/UNO FIRE ORIGINAL,E-175,ABRAC,14,"8,40",PC
27241,ABRACADEIRA COIFA CAMBIO UNO/PALIO 96/ GRANDE,E-193,ABRAC,24,"5,00",PC
ZBA407291,ABRACADEIRA COIFA HOMOCINETICA GOL/SANTANA,E-193,ABRAC,0,"4,85",PC
554190.1,ABRACADEIRA COIFA RODA(HOMOCINETICA) UNO 91/,E-199,ABRAC,0,"2,23",PC
ATU64,ABRACADEIRA ESCAPAMENTO U 2 1/2,,ABRAC,0,"8,49",PC
ATU54,ABRACADEIRA ESCAPAMENTO TIPO U,E-203,ABRAC,0,"10,91",PC
